Title,Author,Price(in ₹),Book Format,Rating,Ratings Count,URL
"When the Music Stops: Discover the most emotional, original, uplifting new love story for 2021 that readers can’t stop talking about",,341,Paperback,4.3,,https://www.amazon.in/When-Music-Stops-emotional-uplifting/dp/0008293244/ref=sr_1_51?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-51
Nothing Ventured: The Sunday Times #1 Bestseller (William Warwick Novels),,294,Paperback,4.4,,https://www.amazon.in/Nothing-Ventured-Jeffrey-Archer/dp/1529014913/ref=sr_1_52?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-52
Whereabouts: A Novel | Must Read Penguin Fiction Books,,320,Hardcover,4.3,,https://www.amazon.in/Whereabouts-Novel-Jhumpa-Lahiri/dp/0670095419/ref=sr_1_53?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-53
Family Betrayal,,181,Paperback,4.6,,https://www.amazon.in/Family-Betrayal-Kitty-Neale/dp/1847563503/ref=sr_1_54?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-54
The Best Laid Plans,,268,Paperback,4.5,,https://www.amazon.in/Best-Laid-Plans-Sidney-Sheldon/dp/8172234929/ref=sr_1_55?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-55
The Heiress Bride (Mills & Boon Modern) (Sister Brides series Book 3),,"257
                           
                            .",Kindle Edition,4.3,,https://www.amazon.in/Heiress-Bride-Modern-Sister-Brides-ebook/dp/B0091200E4/ref=sr_1_56?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-56
The Beekeeper of Aleppo: The Sunday Times Bestseller and Richard & Judy Book Club Pick,,"246
                           
                            .",Kindle Edition,4.5,,https://www.amazon.in/Beekeeper-Aleppo-moving-testament-spirit-ebook/dp/B07HZ1PJMY/ref=sr_1_57?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-57
Options Trading Handbook : The Practical Reference and Strategy Guide to Trading Options /How to Make Money Trading Options,,166,Paperback,4.1,,https://www.amazon.in/Option-Trading-Handbook-Chandra-Kaushik/dp/9390378540/ref=sr_1_58?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-58
Success ki University,,254,Paperback,4.5,,https://www.amazon.in/Success-ki-University-OG-Mandino/dp/935322831X/ref=sr_1_59?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-59
The Last Goodbye: The most heartbreaking and unforgettable romance novel you’ll read in 2021,,327,Paperback,4.5,,https://www.amazon.in/Last-Goodbye-Fiona-Lucas/dp/0008371911/ref=sr_1_60?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-60
